name,hex,r,g,b
Lavender (floral),#B57EDC,0.71,0.49,0.86
Lavender (web),#E6E6FA,0.9,0.9,0.98
Lavender blue,#CCCCFF,0.8,0.8,1.0
Lavender blush,#FFF0F5,1.0,0.94,0.96
Lavender gray,#C4C3D0,0.77,0.76,0.82
Lawn green,#7CFC00,0.49,0.99,0.0
Lemon,#FFF700,1.0,0.97,0.0
Lemon chiffon,#FFFACD,1.0,0.98,0.8
Lemon curry,#CCA01D,0.8,0.63,0.11
Lemon glacier,#FDFF00,0.99,1.0,0.0
Lemon meringue,#F6EABE,0.96,0.92,0.75
Lemon yellow,#FFF44F,1.0,0.96,0.31
Lemon yellow (Crayola),#FFFF9F,1.0,1.0,0.62
Liberty,#545AA7,0.33,0.35,0.65
Light blue,#ADD8E6,0.68,0.85,0.9
Light coral,#F08080,0.94,0.5,0.5
Light cornflower blue,#93CCEA,0.58,0.8,0.92
Light cyan,#E0FFFF,0.88,1.0,1.0
Light French beige,#C8AD7F,0.78,0.68,0.5
Light goldenrod yellow,#FAFAD2,0.98,0.98,0.82
Light gray,#D3D3D3,0.83,0.83,0.83
Light green,#90EE90,0.56,0.93,0.56
Light orange,#FED8B1,1.0,0.85,0.69
Light periwinkle,#C5CBE1,0.77,0.8,0.88
Light pink,#FFB6C1,1.0,0.71,0.76
Light salmon,#FFA07A,1.0,0.63,0.48
Light sea green,#20B2AA,0.13,0.7,0.67
Light sky blue,#87CEFA,0.53,0.81,0.98
Light slate gray,#778899,0.47,0.53,0.6
Light steel blue,#B0C4DE,0.69,0.77,0.87
Light yellow,#FFFFE0,1.0,1.0,0.88
Lilac,#C8A2C8,0.78,0.64,0.78
Lilac Luster,#AE98AA,0.68,0.6,0.67
Lime (color wheel),#BFFF00,0.75,1.0,0.0
Lime (web) (X11 green),#00FF00,0.0,1.0,0.0
Lime green,#32CD32,0.2,0.8,0.2
Lincoln green,#195905,0.1,0.35,0.02
Linen,#FAF0E6,0.98,0.94,0.9
Lion,#DECC9C,0.87,0.8,0.61
Liseran purple,#DE6FA1,0.87,0.44,0.63
Little boy blue,#6CA0DC,0.42,0.63,0.86
Liver,#674C47,0.4,0.3,0.28
Liver (dogs),#B86D29,0.72,0.43,0.16
Liver (organ),#6C2E1F,0.42,0.18,0.12
Liver chestnut,#987456,0.6,0.45,0.34
Livid,#6699CC,0.4,0.6,0.8
Macaroni and Cheese,#FFBD88,1.0,0.74,0.53
Madder Lake,#CC3336,0.8,0.2,0.21
Magenta,#FF00FF,1.0,0.0,1.0
Magenta (Crayola),#F653A6,0.96,0.33,0.65
Magenta (dye),#CA1F7B,0.79,0.12,0.48
